employee_id,first_name,last_name,department_id,hire_date,salary,position
54,Jessica,Smith,3,2021-11-28,92923.09,Engineer
55,Beverly,Cox,5,2016-07-24,59119.92,Salesperson
56,Daniel,Singleton,5,2017-04-26,59518.37,Engineer
57,Eileen,Green,1,2017-04-27,71342.12,Salesperson
58,Jamie,Johnson,2,2015-09-01,57793.87,Engineer
59,Amy,Kelly,3,2021-05-24,109367.95,Analyst
60,Barbara,Case,1,2018-12-07,101944.43,Manager
61,Travis,Willis,2,2020-12-20,94506.69,Engineer
62,Patricia,Robinson,3,2018-02-25,50806.26,Engineer
63,Katherine,Horne,1,2021-09-10,84357.42,Manager
64,Michael,Hopkins,2,2021-01-15,62059.38,Engineer
65,Frances,James,3,2016-11-20,136034.03,Manager
66,Brian,Williams,2,2018-08-18,119403.1,Salesperson
67,Dawn,Juarez,5,2022-11-23,97770.02,Analyst
68,Erin,Harris,4,2018-04-13,72894.69,Analyst
69,Eric,White,4,2018-03-31,58933.11,Manager
70,Samantha,Johnston,5,2021-06-03,130595.68,Analyst
71,John,Carpenter,2,2017-12-31,60320.15,Manager
72,Paul,Benitez,5,2020-10-08,86756.17,Analyst
73,Nicole,Allison,4,2022-08-14,79925.53,Engineer
74,Heather,Stewart,4,2016-01-26,88272.1,Engineer
75,Kayla,Turner,2,2016-07-09,131336.79,Analyst
76,Amy,Smith,4,2019-08-13,137449.73,Salesperson
77,Matthew,Campbell,5,2015-08-31,114157.61,Analyst
78,Edward,Mcdaniel,2,2018-02-09,117713.71,Engineer
79,Michael,Lewis,5,2022-05-10,56841.16,Analyst
80,Sharon,Shaffer,2,2016-06-03,106329.12,Engineer
81,Brandi,Moore,4,2022-11-13,111031.92,Salesperson
82,Kristina,Kirby,3,2016-06-27,66411.65,Salesperson
83,Alicia,Cooper,2,2017-10-19,85118.77,Analyst
84,Daniel,Cross,2,2016-08-22,71305.55,Engineer
85,Deanna,Howard,3,2022-12-23,124826.88,Salesperson
86,Jenny,Rodriguez,4,2018-08-12,141989.41,Manager
87,Savannah,Rivera,5,2017-10-10,111607.6,Analyst
88,Catherine,Stevens,1,2022-08-01,94238.39,Manager
89,David,Morris,3,2019-05-28,71724.47,Analyst
90,Carl,Smith,1,2020-06-27,139659.29,Engineer
91,Heather,Arias,4,2016-08-05,64001.31,Engineer
92,Crystal,Walker,2,2021-06-23,62315.72,Manager
93,Kevin,Barnes,2,2022-02-03,123000.91,Engineer
94,Gabrielle,Curry,4,2018-01-05,85153.56,Engineer
95,Wanda,Berg,5,2022-01-15,92938.87,Engineer
96,Raymond,Garcia,5,2019-08-24,129107.67,Manager
97,Michael,Russell,4,2019-03-17,74778.64,Engineer
98,John,Berry,4,2020-01-26,114462.06,Salesperson
99,Alexandra,Roberts,4,2015-11-06,74816.7,Analyst
100,Mary,Smith,4,2022-02-08,110099.91,Salesperson
